id,title,revenue,vote_count,vote_average,runtime,popularity
217129,SampleThis,0,16,6.7,85.0,3.968
282297,Cowspiracy: The Sustainability Secret,0,310,7.9,90.0,11.892
409438,"Oh, Baby",0,6,3.3,91.0,4.327
627133,The Crystal Calls - Making The Dark Crystal: Age of Resistance,0,18,7.2,83.0,19.546
411144,We Have Always Lived in the Castle,0,137,5.2,96.0,17.028
72283,Bangkok Hell: Nor Chor - The Prisoners,0,3,5.7,100.0,1.796
420426,Bleach,4001919,354,6.7,108.0,48.479
585244,I Still Believe,0,673,7.8,115.0,78.96
468362,The Angel,0,183,6.7,114.0,13.166
452731,The Land of Steady Habits,0,99,5.3,98.0,9.88
486606,Warfighter,0,5,6.2,0.0,5.548
631021,Deviant Love,0,4,4.6,86.0,4.828
549935,Head Count,0,42,5.7,90.0,5.664
628039,"Hello, Privilege. It's Me, Chelsea",0,31,4.9,64.0,6.898
566067,Hedefim Sensin,0,10,6.0,105.0,2.055
559957,Shanghai Fortress,0,34,4.7,107.0,70.347
625450,Tall Girl,0,1250,6.4,101.0,41.212
455839,Time Trap,0,485,6.0,95.0,22.231
545634,Reversing Roe,0,17,7.5,99.0,5.725
481447,Ghost of the Mountains,0,3,7.3,78.0,3.505
393443,Extremis,0,56,7.2,24.0,5.12
77950,Turbo,282570682,2277,6.1,96.0,21.62
538362,On My Skin,0,1500,8.1,100.0,17.327
475345,Heroin(e),0,71,7.2,39.0,7.198
473277,Jeff Dunham: Relative Disaster,0,27,6.7,70.0,3.245
497916,The Resistance Banker,0,134,6.6,124.0,14.387
10145,The Forgotten,117592831,776,5.9,91.0,15.701
625128,Bill Burr: Paper Tiger,0,69,7.3,67.0,8.663
38167,Eat Pray Love,204594016,1671,6.2,133.0,24.15
21868,Evelyn,0,61,6.5,92.0,8.942
598065,Our Godfather,0,42,6.5,92.0,8.491
530442,"My Teacher, My Obsession",0,61,4.9,105.0,16.302
367462,68 Kill,0,88,5.6,92.0,12.767
1359,American Psycho,34266564,5952,7.3,102.0,21.36
9619,Dante's Peak,178127760,1115,6.0,108.0,17.052
56743,Elena Undone,0,111,7.1,111.0,12.155
410554,First Kill,0,334,5.4,97.0,24.821
13930,For the Birds,0,785,7.5,3.0,10.829
14248,Igor,30700000,322,5.6,87.0,20.441
10033,Just Friends,50817508,1078,6.1,96.0,17.545
627796,Mokalik (Mechanic),0,4,5.0,100.0,2.821
13257,Mr. Woodcock,0,286,4.9,87.0,11.027
10024,My Sister's Keeper,95714875,1472,7.4,109.0,14.704
322,Mystic River,156822020,4200,7.7,138.0,20.508
304030,Olmo and the Seagull,0,12,8.0,90.0,2.509
7484,Open Season,197309027,1835,6.1,83.0,19.033
140033,Phone Swap,0,3,4.3,0.0,1.369
503,Poseidon,181674817,1394,5.8,99.0,17.449
14976,Rachel Getting Married,0,365,6.3,113.0,11.952
54408,Spookley the Square Pumpkin,0,6,5.2,45.0,2.824
10890,Stripes,85300000,539,6.5,106.0,15.088
8363,Superbad,121463226,4675,7.1,113.0,43.605
1666,The Bridge,179780,146,6.9,93.0,9.545
629005,The CEO,0,0,0.0,105.0,1.049
2044,The Lake House,114830111,1785,6.8,99.0,17.732
38358,The Last Exorcism,67738090,654,5.6,87.0,13.827
463906,The Saint,0,180,5.1,92.0,26.064
18487,The Taking of Pelham 1 2 3,150166126,2145,6.3,106.0,16.574
668632,Uncle Naji in UAE,0,1,10.0,95.0,0.84
567208,Used Goods,0,3,7.3,98.0,1.96
10661,You Don't Mess with the Zohan,201596308,2517,5.6,113.0,25.93
362256,Barça Dreams,0,25,7.3,120.0,2.068
254473,Brick Mansions,68896829,1132,5.9,90.0,20.217
53922,Carbon Copy,9566593,30,5.5,92.0,7.281
340601,Delirium,0,142,5.4,96.0,12.279
737282,Human Garbage,0,1,10.0,89.0,5.881
527725,Hope Aur Hum,0,3,6.2,96.0,1.4
527851,Kuchh Bheege Alfaaz,0,6,7.5,116.0,2.783
486471,Love and Shukla,0,3,8.3,117.0,0.757
13561,Murder Party,0,166,5.6,79.0,9.071
546241,Once Again,0,6,6.7,101.0,2.36
184219,Pee Mak Phrakanong,0,70,7.2,111.0,5.278
49971,Sólo con tu pareja,0,34,6.8,94.0,3.946
467548,Sparring,0,32,5.9,95.0,3.624
333357,Stephanie,0,135,6.0,86.0,17.997
420634,Terrifier,0,303,6.3,84.0,165.302
364220,The Keeping Hours,0,75,6.9,91.0,10.302
563801,The Perfect Day,0,2,7.0,94.0,2.77
354859,The Promise,0,277,7.0,130.0,13.837
8987,The River Wild,94216343,544,6.4,111.0,15.024
405458,Miniforce: New Heroes Rise,0,9,7.6,68.0,7.368
474084,Aakhri Adaalat,0,3,5.7,148.0,0.6
528647,"Alias JJ, The Celebrity of Evil",0,2,8.0,54.0,3.212
118412,Berserk: The Golden Age Arc II - The Battle for Doldrey,0,186,7.3,98.0,10.514
144288,Berserk: The Golden Age Arc III - The Advent,0,171,7.5,110.0,30.54
385923,Brother's Shadow,0,2,7.0,91.0,2.525
507303,Chadi Jawani Budhe Nu,0,1,6.0,135.0,0.6
474070,Concrete Football,0,16,7.0,51.0,1.41
529630,Ek Jaan Hain Hum,0,1,7.0,151.0,0.6
339143,Incorruptible,0,5,3.8,94.0,2.947
34297,Inuyasha the Movie 4: Fire on the Mystic Island,0,39,6.9,88.0,14.728
34295,Inuyasha the Movie 3: Swords of an Honorable Ruler,0,47,7.3,99.0,15.002
22537,Inuyasha the Movie 2: The Castle Beyond the Looking Glass,0,52,7.1,100.0,15.959
464441,Khoon Khoon,0,3,4.3,131.0,1.4
346671,Little Evil,0,667,5.6,94.0,18.234
564121,Lorai: Play to Live,0,1,7.0,155.0,0.6
107800,Manoranjan,0,2,7.0,162.0,0.916
566319,Mujrim,0,1,6.0,162.0,1.131
75624,Naruto Shippuden the Movie: Blood Prison,0,185,7.0,108.0,93.196
36728,Naruto Shippuden the Movie: The Will of Fire,8084148,187,7.1,95.0,64.042
50723,Naruto Shippuden the Movie: The Lost Tower,0,159,6.9,85.0,73.873
16910,Naruto the Movie: Legend of the Stone of Gelel,0,168,6.3,96.0,36.991
18861,Naruto the Movie: Guardians of the Crescent Moon Kingdom,0,155,6.8,95.0,49.035
16907,Naruto the Movie: Ninja Clash in the Land of Snow,0,220,7.0,82.0,37.059
442133,Offline: Are You Ready for the Next Level?,0,59,5.8,0.0,8.835
473545,Resurface,0,15,7.1,27.0,1.928
416148,Rocco,0,119,5.6,105.0,14.459
27995,She's Gotta Have It,7137503,164,6.8,84.0,14.868
216969,Sohni Mahiwal,0,9,5.9,160.0,1.298
408537,The Distinguished Citizen,0,139,7.4,118.0,8.288
420260,The Drowning,0,91,4.4,95.0,12.362
366644,The Guardian Brothers,0,85,6.1,103.0,14.144
451474,The Last Shaman,0,13,7.2,77.0,5.62
447904,The Lost Brother,0,24,6.8,112.0,4.994
456705,All About Asado,0,12,6.4,90.0,1.32
348529,Who the Fuck is That Guy?: The Fabulous Journey of Michael Alago,0,6,6.3,85.0,2.6
366885,A Noble Intention,0,26,7.0,115.0,3.406
366887,Bon Bini Holland,5500000,32,5.5,95.0,3.421
287594,Dukhtar,120000,23,6.8,93.0,2.429
464127,The Adventures of Figaro Pho,0,6,5.8,28.0,0.773
298582,Full Out,0,240,7.3,94.0,9.493
373472,Holy Hell,16905,84,6.8,100.0,8.735
671555,Off Course,0,1,10.0,9.0,0.6
452446,Saudi Arabia Uncovered,0,6,7.0,51.0,1.4
71859,We Need to Talk About Kevin,10765283,1749,7.6,113.0,13.893
220153,Iliza Shlesinger: War Paint,0,43,6.4,75.0,7.387
537915,After,69497587,5212,7.1,106.0,187.131
635554,No Place Like Home,0,4,4.0,0.0,7.192
141507,Garuda Di Dadaku,0,5,6.6,97.0,2.575
550294,Mo Amer: The Vagabond,0,7,6.2,56.0,5.141
397859,Letters from Prague,0,5,7.0,94.0,2.219
355020,Winter on Fire: Ukraine's Fight for Freedom,0,149,8.1,98.0,8.715
638072,Deon Cole: Cole Hearted,0,14,6.5,69.0,7.754
637395,The Spooky Tale of Captain Underpants Hack-a-ween,0,8,5.9,46.0,22.462
538528,Pulang,0,11,5.7,120.0,5.27
256917,The Water Diviner,15520023,834,6.8,112.0,13.647
456508,Chris Brown: Welcome to My Life,0,242,6.4,80.0,7.937
4488,Friday the 13th,59754601,1723,6.4,95.0,59.478
417026,Russell Peters: Almost Famous,0,26,6.9,73.0,3.639
334517,The Siege of Jadotville,0,547,7.2,108.0,14.596
37715,Love for Sale,0,6,6.7,103.0,4.907
78479,Jackpot,0,19,6.8,97.0,2.489
500535,Seven in Heaven,0,55,6.1,94.0,9.952
383785,Kung Fu Yoga,254212245,208,5.7,130.0,18.27
448444,The Death and Life of Marsha P. Johnson,0,63,7.5,105.0,9.286
525235,Noblemen,0,4,6.3,109.0,2.831
278322,Lights from the East: I Am Maluku,0,1,8.0,150.0,0.826
481375,Malevolent,0,218,4.9,88.0,15.581
458342,Private Life,0,183,6.9,123.0,9.77
552752,Super Monsters Save Halloween,0,4,6.6,24.0,2.075
431339,A Plastic Ocean,0,58,7.8,102.0,7.778
606413,Aykut Enişte,0,16,6.4,109.0,4.672
523139,In the Tall Grass,0,1296,5.5,102.0,19.886
134378,New Kids on the Block: Coming Home,0,0,0.0,115.0,1.774
636561,Super Monsters: Vida's First Halloween,0,2,6.0,24.0,1.4
368182,Compulsion,0,33,4.5,92.0,14.795
756644,Alieu The Dreamer,0,0,0.0,0.0,1.862
14745,The Haunting of Molly Hartley,15,105,4.3,82.0,11.51
419566,LEGO Jurassic World: The Indominus Escape,0,48,6.0,24.0,9.441
667282,Grego Rossello: disculpe las molestias,0,0,0.0,65.0,0.84
529210,Gun City,0,114,6.3,127.0,11.728
359105,Heneral Luna,0,25,7.8,118.0,6.488
484413,Judah Friedlander: America Is the Greatest Country in the United States,0,21,7.8,84.0,5.464
411011,The B-Side: Elsa Dorfman's Portrait Photography,0,13,6.7,76.0,5.058
146229,Kristy,0,256,6.1,86.0,17.064
595490,Mehandi Circus,0,6,5.7,135.0,2.997
137303,My Brother... Nikhil,0,4,6.3,120.0,2.378
403789,Shorgul,0,4,4.9,132.0,1.905
541225,Siddhant,0,1,7.0,112.0,0.876
504229,The Jungle School,0,6,7.2,90.0,1.94
472838,SPF-18,0,909,4.5,75.0,13.72
64288,Forks Over Knives,664747,102,7.1,90.0,8.577
44418,Benji's Very Own Christmas Story,0,6,4.4,25.0,2.3
313755,The Black Prince,0,8,4.4,,5.534
460019,Truth or Dare,95330493,2889,6.0,100.0,36.551
393345,Cult of Chucky,0,655,5.6,91.0,33.821
478548,Rodney Carrington: Here Comes The Truth,0,5,5.1,66.0,3.556
460846,Security,0,479,6.0,87.0,25.411
642661,Arsenio Hall: Smart and Classy,0,8,6.5,63.0,10.101
683021,The Road to El Camino: Behind the Scenes of El Camino: A Breaking Bad Movie,0,5,6.6,13.0,2.525
552532,Charm City Kings,0,99,8.0,125.0,35.798
522619,Pup Star: World Tour,0,5,5.8,87.0,12.383
617331,A 3 Minute Hug,0,12,6.2,28.0,3.37
587385,Little Miss Sumo,0,12,6.2,18.0,3.86
301875,Equals,2084628,998,6.1,101.0,15.166
469922,Pup Star: Better 2Gether,0,10,6.7,90.0,6.59
407559,I Am the Pretty Thing That Lives in the House,0,382,4.3,89.0,15.101
360029,Into the Inferno,0,104,7.0,107.0,10.338
393764,The African Doctor,0,417,6.8,96.0,6.728
393712,West Coast,0,33,5.7,80.0,3.206
534235,14 Cameras,0,63,5.2,90.0,10.411
15860,Dragon Tiger Gate,8685526,115,6.5,94.0,11.392
473408,Joan Didion: The Center Will Not Hold,0,27,7.1,92.0,6.96
423093,7 años,0,131,6.4,77.0,7.565
323679,Manson Family Vacation,0,37,5.8,85.0,6.001
552871,The Last Whistle,0,3,6.7,88.0,5.753
462469,Been So Long,0,40,5.9,100.0,8.72
493655,Dovlatov,0,26,6.8,126.0,5.723
522964,Incoming,0,46,4.4,89.0,32.842
517298,Jefe,0,40,5.3,89.0,4.863
556802,Santo cachón,0,4,7.0,,2.17
489994,Shirkers,0,71,7.6,96.0,8.924
536771,W/O Ram,0,2,7.0,119.0,0.671
364223,Strange Weather,0,23,6.0,95.0,7.217
336029,A Tale of Love and Darkness,572212,74,5.2,95.0,6.38
528985,Assimilate,0,142,6.5,93.0,13.118
442425,Consequences,0,2,5.0,86.0,3.518
528888,Dolemite Is My Name,0,697,7.1,118.0,23.368
636709,It Takes a Lunatic,0,6,5.3,126.0,7.232
560362,Rattlesnake,0,279,5.1,85.0,15.705
486225,The Awakening of Motti Wolkenbruch,0,88,5.7,94.0,8.354
532944,Ronnie Coleman: The King,0,47,6.9,93.0,9.579
435738,Meet the Trumps: From Immigrant to President,0,8,6.3,48.0,2.957
273248,The Hateful Eight,155760117,10369,7.7,188.0,20.73
348666,Walt Disney Animation Studios Short Films Collection,0,58,7.9,85.0,10.131
549551,Echo in the Canyon,0,19,6.8,82.0,5.608
621681,Revenge of the Pontianak,0,10,5.1,93.0,3.75
479269,Jack Whitehall: At Large,0,42,7.1,67.0,4.628
250653,E-Team,0,20,6.1,88.0,3.548
250066,American Heist,0,255,4.7,94.0,11.684
634541,Dancing with the Birds,0,24,7.9,51.0,6.019
450001,Master Z: Ip Man Legacy,21832649,258,5.6,107.0,25.9
517596,Adam Sandler: 100% Fresh,0,67,7.3,73.0,11.938
252512,While We're Young,17287309,771,5.9,97.0,10.91
302150,The Hunter's Prayer,0,238,5.7,91.0,14.65
310121,I'll See You in My Dreams,7449681,105,6.4,92.0,10.319
637627,Jenny Slate: Stage Fright,0,24,5.8,66.0,6.886
9373,The Texas Chainsaw Massacre,107071655,1624,6.2,98.0,44.162
290764,Tracers,593683,885,6.1,94.0,37.718
517286,Yomeddine,0,15,6.9,97.0,4.288
392955,God Knows Where I Am,0,19,6.4,97.0,4.668
44070,Aashayein,0,9,6.3,115.0,1.324
19025,Bhool Bhulaiyaa,0,90,6.3,151.0,8.442
48569,Humko Deewana Kar Gaye,0,21,4.9,152.0,3.755
117337,Kajraare,0,5,2.6,112.0,2.269
55376,Karzzzz,0,9,2.0,142.0,2.566
53299,Patiala House,0,38,5.6,140.0,3.379
333339,Ready Player One,582890172,10367,7.6,140.0,126.926
294132,Results,104507,118,5.1,105.0,8.758
334521,Free Fire,3719383,709,6.3,90.0,59.709
22421,The Rainbow Troops,0,16,7.4,120.0,2.782
421854,Joe Rogan: Triggered,0,38,6.8,63.0,7.545
298522,Wyatt Cenac: Brooklyn,0,9,6.2,67.0,3.263
527246,How to Get Over a Breakup,0,189,6.9,100.0,14.57
30973,The Gospel of John,4078741,23,8.0,180.0,6.276
452507,1922,0,1843,5.9,102.0,16.673
77801,Miss Representation,0,63,7.5,85.0,10.066
474569,One of Us,0,87,7.0,95.0,9.993
471014,Wheelman,0,387,6.0,82.0,18.208
532880,Ready to Mingle,0,97,6.7,97.0,17.341
552404,Salam - The First ****** Nobel Laureate,0,2,7.5,75.0,2.5
401478,Death Race: Beyond Anarchy,0,166,6.3,111.0,71.077
550248,Joe Rogan: Strange Times,0,31,7.5,63.0,5.406
528530,Monty Python Conquers America,0,2,6.5,55.0,1.885
282268,Monty Python Live (Mostly),0,46,7.1,138.0,5.996
84067,Monty Python: Live at Aspen,0,8,7.3,58.0,2.289
11949,Monty Python Live at the Hollywood Bowl,0,83,7.3,77.0,9.015
328037,Monty Python: The Meaning of Live,0,22,7.5,96.0,4.47
583,Life of Brian,20045115,2841,7.8,94.0,18.118
489796,The Meaning of Monty Python,0,1,8.0,60.0,3.04
288036,Sleeping with Other People,3214116,616,6.3,100.0,16.236
362988,Anjelah Johnson: Not Fancy,0,16,4.6,63.0,6.195
641816,Little Singham: Kaal Ki Tabaahi,0,1,8.0,66.0,0.6
479455,Men in Black: International,252608480,2945,6.0,115.0,88.959
572210,Moms at War,0,1,5.0,0.0,1.439
108345,The Command,0,8,5.4,94.0,3.75
554175,Derren Brown: Sacrifice,0,28,7.6,49.0,5.848
466876,Gnome Alone,0,155,6.2,85.0,17.537
467824,Illang: The Wolf Brigade,0,140,6.4,140.0,28.251
567785,Oddbods: Party Monsters,0,2,6.0,23.0,1.248
52724,Anna's Storm,0,5,5.6,90.0,4.228
506157,The Gospel of Luke,0,2,7.5,205.0,3.438
444681,The Gospel of Mark,0,1,7.0,123.0,2.408
505688,The Gospel of Matthew,0,2,8.5,190.0,1.573
449992,The Night Comes for Us,0,355,6.9,121.0,27.274
438347,Wedding Unplanned,0,322,6.1,94.0,10.748
471872,10 Days In Sun City,0,0,0.0,90.0,1.825
412188,93 Days,0,27,6.0,124.0,2.25
483202,Eli,0,848,5.9,98.0,21.571
640390,In My Country,0,0,0.0,99.0,1.489
447447,"Love, Surreal and Odd",0,14,5.7,95.0,4.405
603545,New Money,0,1,4.0,107.0,0.949
14874,Try Seventeen,0,67,6.0,96.0,12.489
120753,Jeca Tatu,0,5,7.4,95.0,1.059
627070,Tell Me Who I Am,0,112,7.6,85.0,13.022
517909,The Laundromat,0,741,6.0,96.0,15.447
590425,Up North,0,2,5.5,99.0,1.536
639411,Upstarts,0,5,6.4,112.0,9.268
482278,Verses of Love 2,0,7,6.6,125.0,2.411
498366,Mr. Chandramouli,0,2,4.8,122.0,1.186
529674,Márama - Rombai: The Journey,0,0,0.0,79.0,0.601
38575,The Karate Kid,357852395,4089,6.4,140.0,45.136
63700,My Babysitter's a Vampire,0,250,6.8,80.0,13.481
479263,Patton Oswalt: Annihilation,0,48,7.2,66.0,6.517
586245,Ghosts of Sugar Land,0,24,6.4,21.0,2.356
639834,League of Legends Origins,0,30,7.2,77.0,6.951
604343,Park Na-rae: Glamour Warning,0,4,5.8,62.0,2.034
283445,Sinister 2,52882018,1478,5.8,97.0,31.068
463088,The Game Changers,0,163,7.4,88.0,12.753
550302,"Ron White: If You Quit Listening, I'll Shut Up",0,19,6.2,63.0,5.97
